Manufacturer,Pathway (Primary or TLAAS),Model Year,Fleet,Region,Fleet Std,Fleet Avg,Volume,Credits (Mg),Credit Type
Aston Martin,TLAAS,2014,PV,,324,454,1272,-32289,Fleet Average
BMW,Primary,2014,PV,,,,297388,231480,A/C Efficiency
BMW,Primary,2014,PV,,,,297226,256260,A/C Leakage
BMW,Primary,2014,PV,,,,9895,,Advanced Technology
BMW,Primary,2014,PV,,,,15968,-4677,CH4 Deficit
BMW,Primary,2014,PV,,258,256,297388,116138,Fleet Average
BMW,Primary,2014,PV,,,,15968,-37167,N2O Deficit
BMW,Primary,2014,PV,,,,297388,183103,Off-Cycle
BMW,Primary,2014,LT,,,,81938,79580,A/C Efficiency
BMW,Primary,2014,LT,,,,81938,131203,A/C Leakage
BMW,Primary,2014,LT,,,,4029,-1365,CH4 Deficit
BMW,Primary,2014,LT,,313,312,81938,18507,Fleet Average
BMW,Primary,2014,LT,,,,4029,-10847,N2O Deficit
BMW,Primary,2014,LT,,,,81938,113537,Off-Cycle
BYD Motors,Primary,2014,PV,,,,50,,Advanced Technology
BYD Motors,Primary,2014,PV,,261,0,50,2548,Fleet Average
Ferrari,TLAAS,2014,PV,,324,484,2301,-71888,Fleet Average
Ferrari,TLAAS,2014,PV,,,,2301,3408,A/C Leakage
Ferrari,TLAAS,2014,PV,,,,2301,1746,A/C Efficiency
Fiat Chrysler,Primary,2014,PV,,,,633065,526044,A/C Efficiency
Fiat Chrysler,Primary,2014,PV,,,,633882,1113855,A/C Leakage
Fiat Chrysler,Primary,2014,PV,,,,3404,,Advanced Technology
Fiat Chrysler,Primary,2014,PV,,,,25775,-755,CH4 Deficit
Fiat Chrysler,Primary,2014,PV,,262,286,648377,-3038512,Fleet Average
Fiat Chrysler,Primary,2014,PV,,,,,416894,Off-Cycle
Fiat Chrysler,Primary,2014,LT,,,,1446365,1313950,A/C Efficiency
Fiat Chrysler,Primary,2014,LT,,,,1446365,3186801,A/C Leakage
Fiat Chrysler,Primary,2014,LT,,,,316255,-46268,CH4 Deficit
Fiat Chrysler,Primary,2014,LT,,327,345,1446365,-5880298,Fleet Average
Fiat Chrysler,Primary,2014,LT,,,,,2361453,Off-Cycle
Fiat Chrysler,Primary,2014,,US,,,,1019602,Transfer
Ford,Primary,2014,PV,,,,876873,518730,A/C Efficiency
Ford,Primary,2014,PV,,,,1258732,1412435,A/C Leakage
Ford,Primary,2014,PV,,,,18826,,Advanced Technology
Ford,Primary,2014,PV,,,,259189,-14512,CH4 Deficit
Ford,Primary,2014,PV,,254,247,1258732,1720495,Fleet Average
Ford,Primary,2014,PV,,,,6041,-5272,N2O Deficit
Ford,Primary,2014,PV,,,,,501470,Off-Cycle
Ford,Primary,2014,LT,,,,1024234,597121,A/C Efficiency
Ford,Primary,2014,LT,,,,1075502,1846942,A/C Leakage
Ford,Primary,2014,LT,,,,498539,-44119,CH4 Deficit
Ford,Primary,2014,LT,,345,355,1075502,-2429183,Fleet Average
Ford,Primary,2014,LT,,,,28307,-28579,N2O Deficit
Ford,Primary,2014,LT,,,,,769099,Off-Cycle
GM,Primary,2014,PV,,,,1454276,950133,A/C Efficiency
GM,Primary,2014,PV,,,,1552552,1918074,A/C Leakage
GM,Primary,2014,PV,,,,25847,,Advanced Technology
GM,Primary,2014,PV,,,,192022,-14061,CH4 Deficit
GM,Primary,2014,PV,,254,256,1556701,-607935,Fleet Average
GM,Primary,2014,PV,,,,10575,-7384,N2O Deficit
GM,Primary,2014,PV,,,,,228888,Off-Cycle
GM,Primary,2014,LT,,,,1143432,1066971,A/C Efficiency
GM,Primary,2014,LT,,,,1164610,1878149,A/C Leakage
GM,Primary,2014,LT,,,,786583,-43744,CH4 Deficit
GM,Primary,2014,LT,,357,350,1164610,1841312,Fleet Average
GM,Primary,2014,LT,,,,,457702,Off-Cycle
Honda,Primary,2014,PV,,,,868336,241401,A/C Efficiency
Honda,Primary,2014,PV,,,,863817,225990,A/C Leakage
Honda,Primary,2014,PV,,,,1635,,Advanced Technology
Honda,Primary,2014,PV,,250,228,868337,3730209,Fleet Average
Honda,Primary,2014,PV,,,,792892,164811,Off-Cycle
Honda,Primary,2014,LT,,,,577828,288562,A/C Efficiency
Honda,Primary,2014,LT,,,,577828,400850,A/C Leakage
Honda,Primary,2014,LT,,308,299,577828,1174600,Fleet Average
Honda,Primary,2014,PV,,,,,-224693,N2O Deficit
Honda,Primary,2014,LT,,,,316393,239134,Off-Cycle
Hyundai,Primary,2014,PV,,,,509920,320839,A/C Efficiency
Hyundai,Primary,2014,PV,,,,509920,199151,A/C Leakage
Hyundai,Primary,2014,PV,,253,247,509920,597414,Fleet Average
Hyundai,Primary,2014,PV,,,,424458,59075,Off-Cycle
Hyundai,Primary,2014,LT,,,,38441,33274,A/C Efficiency
Hyundai,Primary,2014,LT,,,,38441,24989,A/C Leakage
Hyundai,Primary,2014,LT,,301,325,38441,-208379,Fleet Average
Hyundai,Primary,2014,LT,,,,38441,26111,Off-Cycle
Jaguar Land Rover,TLAAS,2014,PV,,,,12323,12478,A/C Efficiency
Jaguar Land Rover,TLAAS,2014,PV,,,,12323,15850,A/C Leakage
Jaguar Land Rover,TLAAS,2014,PV,,335,330,12323,12031,Fleet Average
Jaguar Land Rover,TLAAS,2014,PV,,,,,5315,Off-Cycle
Jaguar Land Rover,Primary,2014,LT,,,,26103,33606,A/C Efficiency
Jaguar Land Rover,TLAAS,2014,LT,,,,29130,35526,A/C Efficiency
Jaguar Land Rover,Primary,2014,LT,,,,26103,101406,A/C Leakage
Jaguar Land Rover,TLAAS,2014,LT,,,,29130,107234,A/C Leakage
Jaguar Land Rover,Primary,2014,LT,,317,334,26103,-100228,Fleet Average
Jaguar Land Rover,TLAAS,2014,LT,,401,382,29130,125010,Fleet Average
Jaguar Land Rover,Primary,2014,LT,,,,,32693,Off-Cycle
Jaguar Land Rover,TLAAS,2014,LT,,,,,36477,Off-Cycle
Kia,Primary,2014,PV,,,,507627,322330,A/C Efficiency
Kia,Primary,2014,PV,,,,478225,208197,A/C Leakage
Kia,Primary,2014,PV,,251,265,507630,-1387706,Fleet Average
Kia,Primary,2014,PV,,,,430849,88313,Off-Cycle
Kia,Primary,2014,LT,,,,14783,11353,A/C Efficiency
Kia,Primary,2014,LT,,,,28757,18904,A/C Leakage
Kia,Primary,2014,LT,,312,330,28757,-116914,Fleet Average
Kia,Primary,2014,LT,,,,18801,3428,Off-Cycle
Lotus,TLAAS,2014,PV,,300,338,280,-2078,Fleet Average
Mazda,Primary,2014,PV,,251,220,217333,1315557,Fleet Average
Mazda,Primary,2014,LT,,300,287,78826,231452,Fleet Average
McLaren,TLAAS,2014,PV,,319,372,279,-2887,Fleet Average
Mercedes,Primary,2014,PV,,,,271031,285704,A/C Efficiency
Mercedes,Primary,2014,PV,,,,271031,245585,A/C Leakage
Mercedes,Primary,2014,PV,,,,3610,,Advanced Technology
Mercedes,Primary,2014,PV,,257,274,271031,-899684,Fleet Average
Mercedes,Primary,2014,PV,,,,,139554,Off-Cycle
Mercedes,Primary,2014,LT,,,,77572,93551,A/C Efficiency
Mercedes,Primary,2014,LT,,,,77572,123285,A/C Leakage
Mercedes,Primary,2014,LT,,315,340,77572,-438020,Fleet Average
Mercedes,Primary,2014,LT,,,,,24078,Off-Cycle
Mercedes,TLAAS,2014,PV,,,,7095,7403,A/C Efficiency
Mercedes,TLAAS,2014,PV,,,,7095,6275,A/C Leakage
Mercedes,TLAAS,2014,PV,,315,284,7095,42947,Fleet Average
Mercedes,TLAAS,2014,PV,,,,,4295,Off-Cycle
Mercedes,TLAAS,2014,LT,,,,14740,17978,A/C Efficiency
Mercedes,TLAAS,2014,LT,,,,14740,15669,A/C Leakage
Mercedes,TLAAS,2014,LT,,412,433,14740,-69914,Fleet Average
Mercedes,TLAAS,2014,LT,,,,,154,Off-Cycle
Mitsubishi,Primary,2014,PV,US,,,219,,Advanced Technology
Mitsubishi,Primary,2014,PV,,236,224,60679,142181,Fleet Average
Mitsubishi,Primary,2014,LT,,287,256,29828,208850,Fleet Average
Nissan,Primary,2014,PV,,,,935995,542001,A/C Efficiency
Nissan,Primary,2014,PV,,,,935995,414968,A/C Leakage
Nissan,Primary,2014,PV,,,,10339,,Advanced Technology
Nissan,Primary,2014,PV,,249,229,935995,3655323,Fleet Average
Nissan,Primary,2014,PV,,,,,263734,Off-Cycle
Nissan,Primary,2014,LT,,,,389639,211994,A/C Efficiency
Nissan,Primary,2014,LT,,,,372762,348923,A/C Leakage
Nissan,Primary,2014,LT,,318,327,389639,-792052,Fleet Average
Nissan,Primary,2014,LT,,,,,214182,Off-Cycle
Subaru,Primary,2014,PV,,,,91419,30379,A/C Efficiency
Subaru,Primary,2014,PV,,243,250,109078,-149093,Fleet Average
Subaru,Primary,2014,LT,,,,355975,179565,A/C Efficiency
Subaru,Primary,2014,LT,,289,254,356818,2820744,Fleet Average
Subaru,Primary,2014,LT,,,,,1045,Off-Cycle
Tesla,Primary,2014,PV,,,,17791,19801,A/C Efficiency
Tesla,Primary,2014,PV,,,,17791,,Advanced Technology
Tesla,Primary,2014,PV,,288,0,17791,1000495,Fleet Average
Tesla,Primary,2014,,US,,,,-1019602,Transfer
Toyota,Primary,2014,PV,,,,1399600,1284578,A/C Efficiency
Toyota,Primary,2014,PV,,,,1416197,1045084,A/C Leakage
Toyota,Primary,2014,PV,,,,1218,,Advanced Technology
Toyota,Primary,2014,PV,,250,221,1420641,8044601,Fleet Average
Toyota,Primary,2014,PV,,,,,578927,Off-Cycle
Toyota,Primary,2014,LT,,,,772809,544436,A/C Efficiency
Toyota,Primary,2014,LT,,,,748830,720037,A/C Leakage
Toyota,Primary,2014,LT,,326,343,772809,-2967359,Fleet Average
Toyota,Primary,2014,LT,,,,,567623,Off-Cycle
Volkswagen,Primary,2014,PV,,,,486657,376957,A/C Efficiency
Volkswagen,Primary,2014,PV,,,,455689,423705,A/C Leakage
Volkswagen,Primary,2014,PV,,,,755,,Advanced Technology
Volkswagen,Primary,2014,PV,,,,,-44575,CH4 Deficit
Volkswagen,Primary,2014,PV,,250,256,487086,-570662,Fleet Average
Volkswagen,Primary,2014,PV,,,,,-120381,N2O Deficit
Volkswagen,Primary,2014,LT,,,,103524,121759,A/C Efficiency
Volkswagen,Primary,2014,LT,,,,103524,155288,A/C Leakage
Volkswagen,Primary,2014,LT,,,,,-922,CH4 Deficit
Volkswagen,Primary,2014,LT,,311,320,103524,-210442,Fleet Average
Volkswagen,Primary,2014,LT,,,,,-18499,N2O Deficit
Volvo,Primary,2014,PV,,,,16526,4517,A/C Efficiency
Volvo,Primary,2014,PV,,,,16526,20330,A/C Leakage
Volvo,Primary,2014,PV,,258,288,16526,-96808,Fleet Average
Volvo,Primary,2014,LT,,,,9028,2854,A/C Efficiency
Volvo,Primary,2014,LT,,,,15063,24902,A/C Leakage
Volvo,Primary,2014,LT,,307,348,15063,-139490,Fleet Average
