MANUFACTURER,YEAR,FLEET,STD,CAFE,VOLUME,SOURCE,CREDITS
JAGUARLANDROVER,2010,IP,27.5,23.7,10472,3,-397936
JAGUARLANDROVER,2010,LT,23.5,18.7,29724,3,-1426752
KIA,2010,IP,27.5,36.6,219680,3,19990880
KIA,2010,LT,23.5,25.7,28198,3,620356
LOTUS,2010,IP,27.5,26.9,354,3,-2124
MAZDA,2010,IP,27.5,33.8,212495,3,13387185
MAZDA,2010,LT,23.5,26.7,98444,3,3150208
MITSUBISHI,2010,LT,23.5,27.3,20610,3,783180
MITSUBISHI,2010,IP,27.5,32,42798,3,1925910
NISSAN,2010,IP,27.5,32.5,172950,3,8647500
NISSAN,2010,DP,27.5,34.7,377820,3,27203040
NISSAN,2010,LT,23.5,24.9,303366,3,4247124
PORSCHE,2010,IP,27.5,25.7,11937,3,-214866
PORSCHE,2010,LT,23.5,20.5,3978,3,-119340
SPYKER,2010,IP,20.7,20.7,5,3,0
SUBARU,2010,DP,27.5,32.3,34726,3,1666848
SUBARU,2010,IP,27.5,28.9,38000,3,532000
SUBARU,2010,LT,23.5,29.6,185526,3,11317086
SUZUKI,2010,IP,27.5,34.6,20212,3,1435052
SUZUKI,2010,LT,23.5,26.3,8728,3,244384
TESLA,2010,DP,27.5,346.8,278,3,887654
TOYOTA,2010,DP,27.5,37,797089,3,75723455
TOYOTA,2010,IP,27.5,44.6,545634,3,93303414
TOYOTA,2010,LT,23.5,26.1,862467,3,22424142
VOLVO,2010,IP,27.5,27.9,23529,3,94116
VOLVO,2010,LT,23.5,23.1,34413,3,-137652
VW,2010,IP,27.5,33.3,274338,3,15911604
VW,2010,LT,23.5,25.2,46034,3,782578
ASTONMARTIN,2011,IP,29.2,19.1,874,3,-88274
BMW,2011,IP,29.7,29.3,320102,3,-1280408
BMW,2011,LT,25.5,25.3,65548,3,-131096
CHRYSLER,2011,DP,28.4,29.8,239716,3,3356024
CHRYSLER,2011,LT,24.7,24.4,835561,3,-2506683
DAIMLER,2011,IP,30,26.6,165184,3,-5616256
DAIMLER,2011,LT,25.1,21.1,74168,3,-2966720
FIAT,2011,IP,28.6,18.6,3608,3,-360800
FORD,2011,DP,29.8,32.7,831857,3,24123853
FORD,2011,LT,23.5,24.2,832785,3,5829495
GM,2011,DP,29.8,31.2,1247616,3,17466624
GM,2011,IP,30.8,33.5,92806,3,2505762
GM,2011,LT,22.7,23.2,1089891,3,5449455
HONDA,2011,DP,30.5,34.8,463943,3,19949549
HONDA,2011,IP,31,41.7,95740,3,10244180
HONDA,2011,LT,25.5,26.4,534568,3,4811112
HYUNDAI,2011,IP,30.1,35.7,536369,2,30036664
HYUNDAI,2011,LT,26.4,28.6,46472,2,1022384
JAGUARLANDROVER,2011,IP,27.2,23.6,18248,3,-656928
JAGUARLANDROVER,2011,LT,26,18.5,40390,3,-3029250
KIA,2011,IP,30.6,34.6,343150,2,13726000
KIA,2011,LT,26,28.8,85498,2,2393944
LOTUS,2011,IP,31.1,27.4,579,3,-21423
MAZDA,2011,DP,31.1,31.8,2218,3,15526
MAZDA,2011,IP,30.7,33.8,181202,3,5617262
MAZDA,2011,LT,25.6,24.7,33692,3,-303228
MITSUBISHI,2011,IP,30.9,33.5,69763,3,1813838
MITSUBISHI,2011,LT,26.6,27.6,27963,3,279630
NISSAN,2011,DP,30.6,34.7,337867,3,13852547
NISSAN,2011,IP,30.7,33.5,324998,3,9099944
NISSAN,2011,LT,25.1,24.8,302869,3,-908607
PORSCHE,2011,IP,28.8,26.6,17202,3,-378444
PORSCHE,2011,LT,25.3,24,13374,3,-173862
SAAB,2011,IP,31,29.1,3784,3,-71896
SUBARU,2011,IP,30.9,30.5,100193,3,-400772
SUBARU,2011,LT,26.6,30.4,206680,3,7853840
SUZUKI,2011,IP,31.1,34.1,19390,3,581700
SUZUKI,2011,LT,26,25.7,7864,3,-23592
TESLA,2011,DP,31.2,346.8,300,2,946800
TOYOTA,2011,DP,30.5,34.2,863168,3,31937216
TOYOTA,2011,IP,30.7,42.7,330809,3,39697080
TOYOTA,2011,LT,24.5,25.4,780297,3,7022673
VOLVO,2011,IP,30.6,29,30239,3,-483824
VOLVO,2011,LT,26,24.3,22368,3,-380256
VPG,2011,LT,23,28.1,335,2,17085
VW,2011,IP,30.7,33.9,268556,3,8593792
VW,2011,LT,26,27.1,64780,3,712580
ASTONMARTIN,2012,IP,32.3,19.2,1056,3,-138336
BMW,2012,IP,32.6,32.4,191154,3,-382308
BMW,2012,LT,26.1,25,65856,3,-724416
CODA,2012,IP,254.1,35.6,115,3,-251275
DAIMLER,2012,IP,32.3,29.3,173832,3,-5214960
DAIMLER,2012,LT,26,23.9,81573,3,-1713033
FIATCHRYSLER,2012,DP,31.8,31.1,536415,3,-3754905
FIATCHRYSLER,2012,LT,25.5,24.3,994996,3,-11939952
FIATCHRYSLER,2012,IP,30.9,19,3982,3,-473858
FORD,2012,IP,31.7,31.3,6560,3,-26240
FORD,2012,DP,33.2,35.7,1045590,3,26139750
FORD,2012,LT,24.2,24.3,701227,3,701227
GM,2012,DP,32.3,32.8,1449244,3,7246220
GM,2012,LT,23.8,23.7,915130,3,-915130
HONDA,2012,DP,33.3,38.2,882051,3,43220499
HONDA,2012,IP,33.6,36.5,165114,3,4788306
HONDA,2012,LT,26.4,27.8,493414,3,6907796
HYUNDAI,2012,IP,32.6,38.7,585919,2,35741059
HYUNDAI,2012,LT,27.8,29,45565,2,546780
JAGUARLANDROVER,2012,IP,30.2,23.7,12769,3,-829985
JAGUARLANDROVER,2012,LT,27.1,20.2,41766,3,-2881854
KIA,2012,IP,33.1,36.2,437880,2,13574280
KIA,2012,LT,26,28,46144,2,922880
LOTUS,2012,IP,34.3,27,146,3,-10658
MAZDA,2012,IP,33.9,37.9,213308,3,8532320
MAZDA,2012,LT,27.2,27.8,65696,3,394176
McLAREN,2012,IP,32.5,23.2,697,3,-64821
MITSUBISHI,2012,IP,33.6,34.1,51927,3,259635
MITSUBISHI,2012,LT,28.6,31.5,12540,3,363660
